,milage,diff,action
1351,73,11.0,0
1352,84,13.0,0
1353,97,9.0,0
1354,106,6.0,0
1355,112,6.0,0
1356,118,16.0,0
1357,134,5.0,0
1358,139,9.0,0
1359,148,9.0,0
1360,157,9.0,0
1361,166,9.0,0
1362,175,14.0,0
1363,189,14.0,0
1364,203,-186.0,1
1365,17,16.0,0
1366,33,13.0,0
1367,46,4.0,0
1368,50,20.0,0
1369,70,11.0,0
1370,81,5.0,0
1371,86,6.0,0
1372,92,5.0,0
1373,97,8.0,0
1374,105,18.0,0
1375,123,8.0,0
1376,131,9.0,0
1377,140,-127.0,1
1378,13,5.0,0
1379,18,15.0,0
1380,33,9.0,0
1381,42,11.0,0
1382,53,5.0,0
1383,58,8.0,0
1384,66,12.0,0
1385,78,4.0,0
1386,82,7.0,0
1387,89,-78.0,1
1388,11,7.0,0
1389,18,14.0,0
1390,32,11.0,0
1391,43,11.0,0
1392,54,12.0,0
1393,66,16.0,0
1394,82,4.0,0
1395,86,9.0,0
1396,95,9.0,0
1397,104,7.0,0
1398,111,20.0,0
1399,131,-112.0,1
1400,19,4.0,0
1401,23,10.0,0
1402,33,10.0,0
1403,43,9.0,0
1404,52,17.0,0
1405,69,16.0,0
1406,85,6.0,0
1407,91,10.0,0
1408,101,16.0,0
1409,117,-114.0,1
1410,3,7.0,0
1411,10,11.0,0
1412,21,12.0,0
1413,33,10.0,0
1414,43,16.0,0
1415,59,7.0,0
1416,66,9.0,0
1417,75,10.0,0
1418,85,11.0,0
1419,96,-87.0,1
1420,9,18.0,0
1421,27,7.0,0
1422,34,9.0,0
1423,43,13.0,0
1424,56,9.0,0
1425,65,10.0,0
1426,75,18.0,0
1427,93,12.0,0
1428,105,8.0,0
1429,113,7.0,0
1430,120,3.0,0
1431,123,4.0,0
1432,127,3.0,0
1433,130,4.0,0
1434,134,9.0,0
1435,143,16.0,0
1436,159,20.0,0
1437,179,-172.0,1
1438,7,6.0,0
1439,13,10.0,0
1440,23,6.0,0
1441,29,7.0,0
1442,36,12.0,0
1443,48,12.0,0
1444,60,12.0,0
1445,72,5.0,0
1446,77,15.0,0
1447,92,14.0,0
1448,106,16.0,0
1449,122,15.0,0
1450,137,-122.0,1
1451,15,10.0,0
1452,25,12.0,0
1453,37,10.0,0
1454,47,6.0,0
1455,53,12.0,0
1456,65,10.0,0
1457,75,12.0,0
1458,87,8.0,0
1459,95,6.0,0
1460,101,4.0,0
1461,105,8.0,0
1462,113,-103.0,1
1463,10,6.0,0
1464,16,9.0,0
1465,25,7.0,0
1466,32,12.0,0
1467,44,14.0,0
1468,58,17.0,0
1469,75,4.0,0
1470,79,9.0,0
1471,88,7.0,0
1472,95,15.0,0
1473,110,19.0,0
1474,129,10.0,0
1475,139,7.0,0
1476,146,4.0,0
1477,150,15.0,0
1478,165,-156.0,1
1479,9,3.0,0
1480,12,9.0,0
1481,21,15.0,0
1482,36,10.0,0
1483,46,13.0,0
1484,59,12.0,0
1485,71,12.0,0
1486,83,5.0,0
1487,88,11.0,0
1488,99,3.0,0
1489,102,10.0,0
1490,112,7.0,0
1491,119,-111.0,1
1492,8,8.0,0
1493,16,8.0,0
1494,24,16.0,0
1495,40,16.0,0
1496,56,19.0,0
1497,75,18.0,0
1498,93,9.0,0
1499,102,9.0,0
1500,111,-104.0,1
1501,7,6.0,0
1502,13,7.0,0
1503,20,6.0,0
1504,26,14.0,0
1505,40,9.0,0
1506,49,11.0,0
1507,60,8.0,0
1508,68,11.0,0
1509,79,15.0,0
1510,94,23.0,0
1511,117,3.0,0
1512,120,11.0,0
1513,131,8.0,0
1514,139,7.0,0
1515,146,-127.0,1
1516,19,15.0,0
1517,34,7.0,0
1518,41,12.0,0
1519,53,7.0,0
1520,60,4.0,0
1521,64,14.0,0
1522,78,5.0,0
1523,83,5.0,0
1524,88,10.0,0
1525,98,8.0,0
1526,106,8.0,0
1527,114,-108.0,1
1528,6,8.0,0
1529,14,17.0,0
1530,31,10.0,0
1531,41,12.0,0
1532,53,2.0,0
1533,55,8.0,0
1534,63,7.0,0
1535,70,7.0,0
1536,77,4.0,0
1537,81,5.0,0
1538,86,9.0,0
1539,95,9.0,0
1540,104,7.0,0
1541,111,12.0,0
1542,123,16.0,0
1543,139,-127.0,1
1544,12,16.0,0
1545,28,9.0,0
1546,37,9.0,0
1547,46,11.0,0
1548,57,15.0,0
1549,72,9.0,0
1550,81,12.0,0
1551,93,13.0,0
1552,106,13.0,0
1553,119,-113.0,1
1554,6,1.0,0
1555,7,8.0,0
1556,15,13.0,0
1557,28,4.0,0
1558,32,6.0,0
1559,38,9.0,0
1560,47,11.0,0
1561,58,8.0,0
1562,66,9.0,0
1563,75,14.0,0
1564,89,8.0,0
1565,97,-85.0,1
1566,12,7.0,0
1567,19,11.0,0
1568,30,12.0,0
1569,42,8.0,0
1570,50,6.0,0
1571,56,1.0,0
1572,57,7.0,0
1573,64,10.0,0
1574,74,12.0,0
1575,86,7.0,0
1576,93,13.0,0
1577,106,10.0,0
1578,116,5.0,0
1579,121,17.0,0
1580,138,16.0,0
1581,154,10.0,0
1582,164,-157.0,1
1583,7,8.0,0
1584,15,6.0,0
1585,21,10.0,0
1586,31,7.0,0
1587,38,8.0,0
1588,46,8.0,0
1589,54,10.0,0
1590,64,5.0,0
1591,69,10.0,0
1592,79,11.0,0
1593,90,16.0,0
1594,106,9.0,0
1595,115,-99.0,1
1596,16,10.0,0
1597,26,12.0,0
1598,38,9.0,0
1599,47,18.0,0
1600,65,13.0,0
1601,78,13.0,0
1602,91,7.0,0
1603,98,10.0,0
1604,108,6.0,0
1605,114,8.0,0
1606,122,10.0,0
1607,132,-125.0,1
1608,7,15.0,0
1609,22,8.0,0
1610,30,16.0,0
1611,46,9.0,0
1612,55,12.0,0
1613,67,13.0,0
1614,80,9.0,0
1615,89,14.0,0
1616,103,17.0,0
1617,120,-107.0,1
1618,13,3.0,0
1619,16,9.0,0
1620,25,14.0,0
1621,39,5.0,0
1622,44,5.0,0
1623,49,6.0,0
1624,55,12.0,0
1625,67,9.0,0
1626,76,14.0,0
1627,90,5.0,0
1628,95,5.0,0
1629,100,9.0,0
1630,109,3.0,0
1631,112,3.0,0
1632,115,1.0,0
1633,116,-109.0,1
1634,7,9.0,0
1635,16,9.0,0
1636,25,12.0,0
1637,37,3.0,0
1638,40,7.0,0
1639,47,13.0,0
1640,60,9.0,0
1641,69,7.0,0
1642,76,7.0,0
1643,83,18.0,0
1644,101,11.0,0
1645,112,12.0,0
1646,124,9.0,0
1647,133,11.0,0
1648,144,8.0,0
1649,152,-142.0,1
1650,10,8.0,0
1651,18,10.0,0
1652,28,15.0,0
1653,43,6.0,0
1654,49,13.0,0
1655,62,10.0,0
1656,72,-54.0,1
1657,18,16.0,0
1658,34,7.0,0
1659,41,12.0,0
1660,53,17.0,0
1661,70,7.0,0
1662,77,4.0,0
1663,81,5.0,0
1664,86,15.0,0
1665,101,8.0,0
1666,109,-97.0,1
1667,12,13.0,0
1668,25,15.0,0
1669,40,4.0,0
1670,44,16.0,0
1671,60,10.0,0
1672,70,12.0,0
1673,82,7.0,0
1674,89,7.0,0
1675,96,17.0,0
1676,113,4.0,0
1677,117,15.0,0
1678,132,-120.0,1
1679,12,18.0,0
1680,30,13.0,0
1681,43,10.0,0
1682,53,21.0,0
1683,74,14.0,0
1684,88,14.0,0
1685,102,8.0,0
1686,110,7.0,0
1687,117,13.0,0
1688,130,11.0,0
1689,141,9.0,0
1690,150,-138.0,1
1691,12,13.0,0
1692,25,13.0,0
1693,38,11.0,0
1694,49,10.0,0
1695,59,10.0,0
1696,69,7.0,0
1697,76,13.0,0
1698,89,4.0,0
1699,93,-85.0,1
1700,8,5.0,0
1701,13,11.0,0
1702,24,3.0,0
1703,27,12.0,0
1704,39,12.0,0
1705,51,9.0,0
1706,60,3.0,0
1707,63,9.0,0
1708,72,19.0,0
1709,91,12.0,0
1710,103,-86.0,1
1711,17,3.0,0
1712,20,20.0,0
1713,40,13.0,0
1714,53,10.0,0
1715,63,3.0,0
1716,66,7.0,0
1717,73,14.0,0
1718,87,13.0,0
1719,100,11.0,0
1720,111,12.0,0
1721,123,13.0,0
1722,136,4.0,0
1723,140,-122.0,1
1724,18,11.0,0
1725,29,4.0,0
1726,33,11.0,0
1727,44,10.0,0
1728,54,4.0,0
1729,58,12.0,0
1730,70,16.0,0
1731,86,12.0,0
1732,98,-94.0,1
1733,4,21.0,0
1734,25,6.0,0
1735,31,10.0,0
1736,41,7.0,0
1737,48,10.0,0
1738,58,10.0,0
1739,68,9.0,0
1740,77,8.0,0
1741,85,10.0,0
1742,95,10.0,0
1743,105,-95.0,1
1744,10,6.0,0
1745,16,17.0,0
1746,33,2.0,0
1747,35,6.0,0
1748,41,7.0,0
1749,48,18.0,0
1750,66,8.0,0
1751,74,13.0,0
1752,87,23.0,0
1753,110,-105.0,1
1754,5,5.0,0
1755,10,4.0,0
1756,14,5.0,0
1757,19,8.0,0
1758,27,4.0,0
1759,31,5.0,0
1760,36,20.0,0
1761,56,15.0,0
1762,71,4.0,0
1763,75,-59.0,1
1764,16,6.0,0
1765,22,9.0,0
1766,31,3.0,0
1767,34,4.0,0
1768,38,21.0,0
1769,59,10.0,0
1770,69,15.0,0
1771,84,12.0,0
1772,96,17.0,0
1773,113,12.0,0
1774,125,10.0,0
1775,135,13.0,0
1776,148,-138.0,1
1777,10,8.0,0
1778,18,13.0,0
1779,31,6.0,0
1780,37,8.0,0
1781,45,13.0,0
1782,58,13.0,0
1783,71,12.0,0
1784,83,11.0,0
1785,94,16.0,0
1786,110,10.0,0
1787,120,7.0,0
1788,127,-115.0,1
1789,12,15.0,0
1790,27,8.0,0
1791,35,9.0,0
1792,44,8.0,0
1793,52,3.0,0
1794,55,15.0,0
1795,70,12.0,0
1796,82,11.0,0
1797,93,15.0,0
1798,108,9.0,0
1799,117,-111.0,1
1800,6,10.0,0
1801,16,10.0,0
1802,26,6.0,0
1803,32,20.0,0
1804,52,17.0,0
1805,69,9.0,0
1806,78,10.0,0
1807,88,-84.0,1
1808,4,7.0,0
1809,11,9.0,0
1810,20,10.0,0
1811,30,5.0,0
1812,35,7.0,0
1813,42,20.0,0
1814,62,4.0,0
1815,66,9.0,0
1816,75,10.0,0
1817,85,13.0,0
1818,98,8.0,0
1819,106,13.0,0
1820,119,10.0,0
1821,129,12.0,0
1822,141,-133.0,1
1823,8,7.0,0
1824,15,8.0,0
1825,23,7.0,0
1826,30,10.0,0
1827,40,7.0,0
1828,47,11.0,0
1829,58,8.0,0
1830,66,5.0,0
1831,71,7.0,0
1832,78,6.0,0
1833,84,7.0,0
1834,91,7.0,0
1835,98,12.0,0
1836,110,-101.0,1
1837,9,5.0,0
1838,14,12.0,0
1839,26,11.0,0
1840,37,8.0,0
1841,45,9.0,0
1842,54,10.0,0
1843,64,5.0,0
1844,69,15.0,0
1845,84,10.0,0
1846,94,6.0,0
1847,100,12.0,0
1848,112,13.0,0
1849,125,-112.0,1
1850,13,11.0,0
1851,24,6.0,0
1852,30,6.0,0
1853,36,21.0,0
1854,57,6.0,0
1855,63,12.0,0
1856,75,13.0,0
1857,88,10.0,0
1858,98,6.0,0
1859,104,11.0,0
1860,115,15.0,0
1861,130,13.0,0
1862,143,10.0,0
1863,153,-149.0,1
1864,4,4.0,0
1865,8,2.0,0
1866,10,8.0,0
1867,18,12.0,0
1868,30,7.0,0
1869,37,7.0,0
1870,44,10.0,0
1871,54,15.0,0
1872,69,4.0,0
1873,73,7.0,0
1874,80,8.0,0
1875,88,8.0,0
1876,96,13.0,0
1877,109,6.0,0
1878,115,11.0,0
1879,126,-120.0,1
1880,6,6.0,0
1881,12,13.0,0
1882,25,10.0,0
1883,35,6.0,0
1884,41,7.0,0
1885,48,3.0,0
1886,51,9.0,0
1887,60,4.0,0
1888,64,22.0,0
1889,86,13.0,0
1890,99,5.0,0
1891,104,5.0,0
1892,109,14.0,0
1893,123,4.0,0
1894,127,12.0,0
1895,139,-125.0,1
1896,14,5.0,0
1897,19,12.0,0
1898,31,11.0,0
1899,42,16.0,0
1900,58,4.0,0
1901,62,11.0,0
1902,73,5.0,0
1903,78,11.0,0
1904,89,10.0,0
1905,99,19.0,0
1906,118,9.0,0
1907,127,-116.0,1
1908,11,10.0,0
1909,21,16.0,0
1910,37,9.0,0
1911,46,12.0,0
1912,58,7.0,0
1913,65,13.0,0
1914,78,-71.0,1
1915,7,12.0,0
1916,19,14.0,0
1917,33,7.0,0
1918,40,10.0,0
1919,50,9.0,0
1920,59,6.0,0
1921,65,11.0,0
1922,76,9.0,0
1923,85,17.0,0
1924,102,9.0,0
1925,111,5.0,0
1926,116,6.0,0
1927,122,14.0,0
1928,136,-125.0,1
1929,11,7.0,0
1930,18,7.0,0
1931,25,17.0,0
1932,42,7.0,0
1933,49,5.0,0
1934,54,5.0,0
1935,59,16.0,0
1936,75,13.0,0
1937,88,14.0,0
1938,102,11.0,0
1939,113,-97.0,1
1940,16,7.0,0
1941,23,8.0,0
1942,31,4.0,0
1943,35,9.0,0
1944,44,8.0,0
1945,52,11.0,0
1946,63,5.0,0
1947,68,7.0,0
1948,75,-63.0,1
1949,12,17.0,0
1950,29,13.0,0
1951,42,8.0,0
1952,50,9.0,0
1953,59,17.0,0
1954,76,5.0,0
1955,81,20.0,0
1956,101,10.0,0
1957,111,4.0,0
1958,115,-105.0,1
1959,10,2.0,0
1960,12,14.0,0
1961,26,9.0,0
1962,35,5.0,0
1963,40,12.0,0
1964,52,7.0,0
1965,59,7.0,0
1966,66,12.0,0
1967,78,6.0,0
1968,84,5.0,0
1969,89,16.0,0
1970,105,15.0,0
1971,120,7.0,0
1972,127,10.0,0
1973,137,8.0,0
1974,145,17.0,0
1975,162,17.0,0
1976,179,6.0,0
1977,185,-178.0,1
1978,7,5.0,0
1979,12,5.0,0
1980,17,7.0,0
1981,24,11.0,0
1982,35,9.0,0
1983,44,7.0,0
1984,51,12.0,0
1985,63,6.0,0
1986,69,11.0,0
1987,80,-67.0,1
1988,13,12.0,0
1989,25,9.0,0
1990,34,12.0,0
1991,46,13.0,0
1992,59,12.0,0
1993,71,9.0,0
1994,80,17.0,0
1995,97,6.0,0
1996,103,9.0,0
1997,112,14.0,0
1998,126,16.0,0
1999,142,7.0,0
2000,149,9.0,0
2001,158,8.0,0
2002,166,-153.0,1
2003,13,11.0,0
2004,24,11.0,0
2005,35,11.0,0
2006,46,7.0,0
2007,53,8.0,0
2008,61,24.0,0
2009,85,5.0,0
2010,90,16.0,0
2011,106,14.0,0
2012,120,7.0,0
2013,127,12.0,0
2014,139,10.0,0
2015,149,-137.0,1
2016,12,6.0,0
2017,18,6.0,0
2018,24,12.0,0
2019,36,7.0,0
2020,43,5.0,0
2021,48,8.0,0
2022,56,9.0,0
2023,65,8.0,0
2024,73,12.0,0
2025,85,17.0,0
2026,102,4.0,0
2027,106,11.0,0
2028,117,-106.0,1
2029,11,9.0,0
2030,20,5.0,0
2031,25,11.0,0
2032,36,10.0,0
2033,46,9.0,0
2034,55,13.0,0
2035,68,8.0,0
2036,76,-59.0,1
2037,17,14.0,0
2038,31,9.0,0
2039,40,5.0,0
2040,45,9.0,0
2041,54,12.0,0
2042,66,10.0,0
2043,76,11.0,0
2044,87,13.0,0
2045,100,12.0,0
2046,112,4.0,0
2047,116,12.0,0
2048,128,-121.0,1
2049,7,7.0,0
2050,14,4.0,0
2051,18,5.0,0
2052,23,5.0,0
2053,28,17.0,0
2054,45,13.0,0
2055,58,10.0,0
2056,68,11.0,0
2057,79,20.0,0
2058,99,12.0,0
2059,111,4.0,0
2060,115,6.0,0
2061,121,-103.0,1
2062,18,3.0,0
2063,21,10.0,0
2064,31,7.0,0
2065,38,10.0,0
2066,48,14.0,0
2067,62,14.0,0
2068,76,7.0,0
2069,83,6.0,0
2070,89,-80.0,1
2071,9,12.0,0
2072,21,15.0,0
2073,36,10.0,0
2074,46,9.0,0
2075,55,16.0,0
2076,71,13.0,0
2077,84,5.0,0
2078,89,13.0,0
2079,102,8.0,0
2080,110,9.0,0
2081,119,9.0,0
2082,128,-122.0,1
2083,6,5.0,0
2084,11,7.0,0
2085,18,5.0,0
2086,23,8.0,0
2087,31,13.0,0
2088,44,7.0,0
2089,51,5.0,0
2090,56,4.0,0
2091,60,5.0,0
2092,65,15.0,0
2093,80,11.0,0
2094,91,13.0,0
2095,104,-96.0,1
2096,8,9.0,0
2097,17,3.0,0
2098,20,11.0,0
2099,31,12.0,0
2100,43,11.0,0
2101,54,21.0,0
2102,75,16.0,0
2103,91,8.0,0
2104,99,-87.0,1
2105,12,10.0,0
2106,22,3.0,0
2107,25,6.0,0
2108,31,6.0,0
2109,37,10.0,0
2110,47,8.0,0
2111,55,13.0,0
2112,68,11.0,0
2113,79,3.0,0
2114,82,5.0,0
2115,87,14.0,0
2116,101,12.0,0
2117,113,15.0,0
2118,128,9.0,0
2119,137,12.0,0
2120,149,12.0,0
2121,161,-150.0,1
2122,11,10.0,0
2123,21,11.0,0
2124,32,12.0,0
2125,44,5.0,0
2126,49,9.0,0
2127,58,14.0,0
2128,72,4.0,0
2129,76,11.0,0
2130,87,9.0,0
2131,96,5.0,0
2132,101,4.0,0
2133,105,3.0,0
2134,108,12.0,0
2135,120,10.0,0
2136,130,12.0,0
2137,142,8.0,0
2138,150,13.0,0
2139,163,4.0,0
2140,167,-152.0,1
2141,15,11.0,0
2142,26,12.0,0
2143,38,8.0,0
2144,46,19.0,0
2145,65,7.0,0
2146,72,-67.0,1
2147,5,8.0,0
2148,13,15.0,0
2149,28,9.0,0
2150,37,21.0,0
2151,58,13.0,0
2152,71,9.0,0
2153,80,5.0,0
2154,85,11.0,0
2155,96,10.0,0
2156,106,17.0,0
2157,123,10.0,0
2158,133,6.0,0
2159,139,11.0,0
2160,150,-146.0,1
2161,4,11.0,0
2162,15,6.0,0
2163,21,8.0,0
2164,29,15.0,0
2165,44,11.0,0
2166,55,7.0,0
2167,62,13.0,0
2168,75,12.0,0
2169,87,17.0,0
2170,104,11.0,0
2171,115,-106.0,1
2172,9,9.0,0
2173,18,8.0,0
2174,26,7.0,0
2175,33,12.0,0
2176,45,12.0,0
2177,57,13.0,0
2178,70,12.0,0
2179,82,3.0,0
2180,85,9.0,0
2181,94,6.0,0
2182,100,10.0,0
2183,110,5.0,0
2184,115,16.0,0
2185,131,-124.0,1
2186,7,10.0,0
2187,17,10.0,0
2188,27,9.0,0
2189,36,5.0,0
2190,41,3.0,0
2191,44,11.0,0
2192,55,10.0,0
2193,65,10.0,0
2194,75,6.0,0
2195,81,15.0,0
2196,96,-85.0,1
2197,11,8.0,0
2198,19,12.0,0
2199,31,5.0,0
2200,36,12.0,0
2201,48,6.0,0
2202,54,8.0,0
2203,62,12.0,0
2204,74,17.0,0
2205,91,5.0,0
2206,96,7.0,0
2207,103,6.0,0
2208,109,-101.0,1
2209,8,5.0,0
2210,13,11.0,0
2211,24,16.0,0
2212,40,11.0,0
2213,51,15.0,0
2214,66,10.0,0
2215,76,14.0,0
2216,90,6.0,0
2217,96,7.0,0
2218,103,5.0,0
2219,108,14.0,0
2220,122,18.0,0
2221,140,-128.0,1
2222,12,13.0,0
2223,25,7.0,0
2224,32,7.0,0
2225,39,7.0,0
2226,46,12.0,0
2227,58,10.0,0
2228,68,5.0,0
2229,73,10.0,0
2230,83,11.0,0
2231,94,10.0,0
2232,104,9.0,0
2233,113,11.0,0
2234,124,5.0,0
2235,129,8.0,0
2236,137,-122.0,1
2237,15,9.0,0
2238,24,11.0,0
2239,35,13.0,0
2240,48,7.0,0
2241,55,11.0,0
2242,66,10.0,0
2243,76,11.0,0
2244,87,16.0,0
2245,103,-93.0,1
2246,10,9.0,0
2247,19,5.0,0
2248,24,8.0,0
2249,32,15.0,0
2250,47,8.0,0
2251,55,18.0,0
2252,73,12.0,0
2253,85,5.0,0
2254,90,13.0,0
2255,103,11.0,0
2256,114,9.0,0
2257,123,10.0,0
2258,133,8.0,0
2259,141,13.0,0
2260,154,8.0,0
2261,162,-151.0,1
2262,11,9.0,0
2263,20,9.0,0
2264,29,8.0,0
2265,37,13.0,0
2266,50,16.0,0
2267,66,14.0,0
2268,80,9.0,0
2269,89,6.0,0
2270,95,7.0,0
2271,102,8.0,0
2272,110,13.0,0
2273,123,-111.0,1
2274,12,5.0,0
2275,17,6.0,0
2276,23,9.0,0
2277,32,8.0,0
2278,40,8.0,0
2279,48,9.0,0
2280,57,12.0,0
2281,69,14.0,0
2282,83,9.0,0
2283,92,10.0,0
2284,102,10.0,0
2285,112,8.0,0
2286,120,9.0,0
2287,129,14.0,0
2288,143,15.0,0
2289,158,13.0,0
2290,171,7.0,0
2291,178,4.0,0
2292,182,-172.0,1
2293,10,15.0,0
2294,25,16.0,0
2295,41,8.0,0
2296,49,6.0,0
2297,55,4.0,0
2298,59,15.0,0
2299,74,10.0,0
2300,84,8.0,0
2301,92,4.0,0
2302,96,-90.0,1
2303,6,16.0,0
2304,22,10.0,0
2305,32,8.0,0
2306,40,22.0,0
2307,62,7.0,0
2308,69,8.0,0
2309,77,7.0,0
2310,84,12.0,0
2311,96,10.0,0
2312,106,15.0,0
2313,121,7.0,0
2314,128,12.0,0
2315,140,-129.0,1
2316,11,9.0,0
2317,20,5.0,0
2318,25,13.0,0
2319,38,8.0,0
2320,46,14.0,0
2321,60,11.0,0
2322,71,18.0,0
2323,89,11.0,0
2324,100,14.0,0
2325,114,17.0,0
2326,131,8.0,0
2327,139,-130.0,1
2328,9,2.0,0
2329,11,7.0,0
2330,18,14.0,0
2331,32,11.0,0
2332,43,10.0,0
2333,53,3.0,0
2334,56,18.0,0
2335,74,7.0,0
2336,81,3.0,0
2337,84,6.0,0
2338,90,4.0,0
2339,94,-82.0,1
2340,12,13.0,0
2341,25,11.0,0
2342,36,10.0,0
2343,46,13.0,0
2344,59,7.0,0
2345,66,8.0,0
2346,74,7.0,0
2347,81,7.0,0
2348,88,12.0,0
2349,100,19.0,0
2350,119,3.0,0
2351,122,13.0,0
2352,135,6.0,0
2353,141,-135.0,1
2354,6,16.0,0
2355,22,4.0,0
2356,26,9.0,0
2357,35,9.0,0
2358,44,6.0,0
2359,50,6.0,0
2360,56,10.0,0
2361,66,8.0,0
2362,74,9.0,0
2363,83,5.0,0
2364,88,10.0,0
2365,98,-85.0,1
2366,13,6.0,0
2367,19,14.0,0
2368,33,13.0,0
2369,46,10.0,0
2370,56,8.0,0
2371,64,9.0,0
2372,73,7.0,0
2373,80,12.0,0
2374,92,9.0,0
2375,101,4.0,0
2376,105,4.0,0
2377,109,-103.0,1
2378,6,8.0,0
2379,14,14.0,0
2380,28,11.0,0
2381,39,6.0,0
2382,45,9.0,0
2383,54,17.0,0
2384,71,16.0,0
2385,87,4.0,0
2386,91,14.0,0
2387,105,-98.0,1
2388,7,9.0,0
2389,16,20.0,0
2390,36,8.0,0
2391,44,14.0,0
2392,58,20.0,0
2393,78,3.0,0
2394,81,10.0,0
2395,91,13.0,0
2396,104,17.0,0
2397,121,2.0,0
2398,123,13.0,0
2399,136,17.0,0
2400,153,15.0,0
2401,168,8.0,0
2402,176,12.0,0
2403,188,-181.0,1
2404,7,12.0,0
2405,19,6.0,0
2406,25,6.0,0
2407,31,8.0,0
2408,39,8.0,0
2409,47,12.0,0
2410,59,15.0,0
2411,74,8.0,0
2412,82,8.0,0
2413,90,4.0,0
2414,94,6.0,0
2415,100,14.0,0
2416,114,5.0,0
2417,119,-101.0,1
2418,18,8.0,0
2419,26,16.0,0
2420,42,11.0,0
2421,53,3.0,0
2422,56,8.0,0
2423,64,4.0,0
2424,68,12.0,0
2425,80,17.0,0
2426,97,14.0,0
2427,111,15.0,0
2428,126,16.0,0
2429,142,-134.0,1
2430,8,5.0,0
2431,13,20.0,0
2432,33,5.0,0
2433,38,10.0,0
2434,48,15.0,0
2435,63,7.0,0
2436,70,7.0,0
2437,77,16.0,0
2438,93,7.0,0
2439,100,-88.0,1
2440,12,9.0,0
2441,21,15.0,0
2442,36,0.0,0
2443,36,10.0,0
2444,46,12.0,0
2445,58,16.0,0
2446,74,9.0,0
2447,83,14.0,0
2448,97,17.0,0
2449,114,10.0,0
2450,124,6.0,0
2451,130,17.0,0
2452,147,-131.0,1
2453,16,6.0,0
2454,22,12.0,0
2455,34,11.0,0
2456,45,9.0,0
2457,54,13.0,0
2458,67,10.0,0
2459,77,8.0,0
2460,85,14.0,0
2461,99,12.0,0
2462,111,8.0,0
2463,119,-105.0,1
2464,14,8.0,0
2465,22,15.0,0
2466,37,14.0,0
2467,51,7.0,0
2468,58,11.0,0
2469,69,-63.0,1
2470,6,11.0,0
2471,17,11.0,0
2472,28,21.0,0
2473,49,7.0,0
2474,56,9.0,0
2475,65,12.0,0
2476,77,17.0,0
2477,94,11.0,0
2478,105,9.0,0
2479,114,5.0,0
2480,119,11.0,0
2481,130,6.0,0
2482,136,-118.0,1
2483,18,8.0,0
2484,26,8.0,0
2485,34,5.0,0
2486,39,7.0,0
2487,46,18.0,0
2488,64,14.0,0
2489,78,8.0,0
2490,86,9.0,0
2491,95,13.0,0
2492,108,9.0,0
2493,117,6.0,0
2494,123,14.0,0
2495,137,7.0,0
2496,144,10.0,0
2497,154,-140.0,1
2498,14,6.0,0
2499,20,10.0,0
2500,30,3.0,0
2501,33,4.0,0
2502,37,14.0,0
2503,51,7.0,0
2504,58,13.0,0
2505,71,8.0,0
2506,79,10.0,0
2507,89,6.0,0
2508,95,20.0,0
2509,115,6.0,0
2510,121,8.0,0
2511,129,7.0,0
2512,136,20.0,0
2513,156,-143.0,1
2514,13,8.0,0
2515,21,9.0,0
2516,30,13.0,0
2517,43,11.0,0
2518,54,21.0,0
2519,75,13.0,0
2520,88,11.0,0
2521,99,17.0,0
2522,116,-108.0,1
2523,8,7.0,0
2524,15,3.0,0
2525,18,18.0,0
2526,36,6.0,0
2527,42,3.0,0
2528,45,8.0,0
2529,53,-36.0,1
2530,17,8.0,0
2531,25,9.0,0
2532,34,8.0,0
2533,42,5.0,0
2534,47,12.0,0
2535,59,8.0,0
2536,67,13.0,0
2537,80,8.0,0
2538,88,13.0,0
2539,101,-96.0,1
2540,5,5.0,0
2541,10,6.0,0
2542,16,5.0,0
2543,21,12.0,0
2544,33,3.0,0
2545,36,9.0,0
2546,45,18.0,0
2547,63,7.0,0
2548,70,9.0,0
2549,79,12.0,0
2550,91,7.0,0
2551,98,5.0,0
2552,103,17.0,0
2553,120,11.0,0
2554,131,9.0,0
2555,140,9.0,0
2556,149,-140.0,1
2557,9,14.0,0
2558,23,3.0,0
2559,26,16.0,0
2560,42,9.0,0
2561,51,10.0,0
2562,61,8.0,0
2563,69,15.0,0
2564,84,-72.0,1
2565,12,5.0,0
2566,17,12.0,0
2567,29,10.0,0
2568,39,9.0,0
2569,48,14.0,0
2570,62,7.0,0
2571,69,9.0,0
2572,78,9.0,0
2573,87,14.0,0
2574,101,13.0,0
2575,114,7.0,0
2576,121,9.0,0
2577,130,-128.0,1
2578,2,14.0,0
2579,16,9.0,0
2580,25,10.0,0
2581,35,11.0,0
2582,46,25.0,0
2583,71,9.0,0
2584,80,21.0,0
2585,101,14.0,0
2586,115,15.0,0
2587,130,3.0,0
2588,133,11.0,0
2589,144,11.0,0
2590,155,18.0,0
2591,173,-166.0,1
2592,7,9.0,0
2593,16,2.0,0
2594,18,11.0,0
2595,29,4.0,0
2596,33,6.0,0
2597,39,2.0,0
2598,41,10.0,0
2599,51,10.0,0
2600,61,12.0,0
2601,73,12.0,0
2602,85,10.0,0
2603,95,-88.0,1
2604,7,9.0,0
2605,16,5.0,0
2606,21,9.0,0
2607,30,15.0,0
2608,45,4.0,0
2609,49,9.0,0
2610,58,6.0,0
2611,64,9.0,0
2612,73,13.0,0
